Multiprocess type:  no
         4667601 function calls (4482113 primitive calls) in 3655.651 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7337    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.004    0.004 inspect.py:1(<module>)
    18027    0.003    0.000    0.004    0.000 utils.py:374(<genexpr>)
        1    0.000    0.000    0.004    0.004 argparse.py:4(<module>)
        1    0.000    0.000    0.004    0.004 reduction.py:10(<module>)
     2726    0.004    0.000    0.004    0.000 {method 'seek' of '_io.BufferedReader' objects}
      314    0.000    0.000    0.004    0.000 overrides.py:170(decorator)
     2726    0.004    0.000    0.004    0.000 tokenize.py:164(__init__)
      306    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
      197    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 __init__.py:2(<module>)
     2726    0.004    0.000    0.004    0.000 {method 'decode' of 'bytes' objects}
    20285    0.004    0.000    0.004    0.000 {built-in method nt.fspath}
     2726    0.003    0.000    0.004    0.000 contextlib.py:463(_push_exit_callback)
        1    0.000    0.000    0.004    0.004 socket.py:4(<module>)
      153    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(path_stats)
        1    0.000    0.000    0.004    0.004 std.py:666(__new__)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
     8662    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      153    0.003    0.000    0.003    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.003    0.003 __init__.py:335(_sanity_check)
       35    0.000    0.000    0.003    0.000 sre_compile.py:598(_code)
        1    0.003    0.003    0.003    0.003 {method 'dot' of 'numpy.ndarray' objects}
     4880    0.003    0.000    0.003    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.003    0.003 initialise.py:2(<module>)
        2    0.000    0.000    0.003    0.002 version.py:1(<module>)
     2088    0.003    0.000    0.003    0.000 {built-in method builtins.pow}
     4862    0.003    0.000    0.003    0.000 format.py:196(_check_version)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.003    0.003 std.py:763(get_lock)
        1    0.000    0.000    0.003    0.003 std.py:90(__init__)
        1    0.000    0.000    0.003    0.003 std.py:116(create_mp_lock)
        1    0.000    0.000    0.003    0.003 context.py:70(RLock)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
     2751    0.003    0.000    0.003    0.000 {built-in method builtins.max}
     2726    0.003    0.000    0.003    0.000 contextlib.py:385(__init__)
     2137    0.003    0.000    0.003    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
   446/35    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.003    0.003 ansitowin32.py:2(<module>)
     5452    0.003    0.000    0.003    0.000 {method 'readline' of '_io.StringIO' objects}
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
       46    0.000    0.000    0.003    0.000 utils.py:385(disp_trim)
     8178    0.002    0.000    0.003    0.000 format.py:644(<genexpr>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.002    0.002 synchronize.py:11(<module>)
     2726    0.002    0.000    0.002    0.000 contextlib.py:375(_create_exit_wrapper)
     2136    0.002    0.000    0.002    0.000 format.py:242(_has_metadata)
     2726    0.002    0.000    0.002    0.000 {built-in method sys.exc_info}
      176    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
     2726    0.002    0.000    0.002    0.000 tokenize.py:612(generate_tokens)
       45    0.002    0.000    0.002    0.000 mark_label.py:16(<listcomp>)
        1    0.000    0.000    0.002    0.002 _version.py:7(<module>)
    17133    0.002    0.000    0.002    0.000 {built-in method _json.encode_basestring}
     6011    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     1629    0.002    0.000    0.002    0.000 fromnumeric.py:70(<dictcomp>)
      284    0.000    0.000    0.002    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        1    0.000    0.000    0.002    0.002 linecache.py:1(<module>)
     2726    0.002    0.000    0.002    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     6877    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     3482    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      317    0.000    0.000    0.002    0.000 function_base.py:483(add_newdoc)
        1    0.000    0.000    0.002    0.002 linalg.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
     2726    0.002    0.000    0.002    0.000 {method '__enter__' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
     2136    0.002    0.000    0.002    0.000 {built-in method _struct.pack}
      448    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      618    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
    17889    0.001    0.000    0.001    0.000 {built-in method unicodedata.east_asian_width}
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2727    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.001    0.001 winterm.py:2(<module>)
        1    0.000    0.000    0.001    0.001 cp1251.py:22(decode)
        1    0.001    0.001    0.001    0.001 {built-in method _codecs.charmap_decode}
     4594    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       45    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(nonzero)
       17    0.001    0.000    0.001    0.000 __init__.py:313(namedtuple)
      961    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      332    0.001    0.000    0.001    0.000 functools.py:34(update_wrapper)
       45    0.001    0.000    0.001    0.000 twodim_base.py:162(eye)
      524    0.001    0.000    0.001    0.000 {built-in method builtins.next}
     2136    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
      552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
       45    0.001    0.000    0.001    0.000 mark_label.py:46(<listcomp>)
